seconds,b1,anomalyScore,predicted,anomalyLikelihood
140.10085227272728,2,0.0,2.0,0.66923117439515711
140.30042613636363,65,0.0,65.0,0.82502291501675984
140.5,151,0.4,151.0,0.76038136466750417
140.69957386363637,0,0.0,0.0,0.76038136466750417
140.89914772727275,785,0.525,785.0,0.65887607431096096
141.09872159090907,41,0.075,41.0,0.64311863836477867
141.29829545454544,0,0.0,0.0,0.64311863836477867
141.4978693181818,2,0.0,2.0,0.66406919362923245
141.6974431818182,0,0.025,0.0,0.65887607392290493
141.89701704545456,389,1.0,389.0,0.599955992504142
142.09659090909093,147,0.025,147.0,0.59446133105072041
142.29616477272725,51,0.0,51.0,0.59446133105072041
142.49573863636363,989,0.15,989.0,0.64839991063846159
142.6953125,208,0.025,208.0,0.64311864349358694
142.89488636363637,4,0.0,4.0,0.74695541992240422
143.09446022727275,290,0.275,290.0,0.70930838447075717
143.29403409090907,13,0.0,13.0,0.70930838447075717
143.49360795454544,877,0.175,877.0,0.67436117883562097
143.6931818181818,115,0.025,115.0,0.67436117883562097
143.8927556818182,26,0.0,26.0,0.84610229029278439
144.09232954545456,484,0.0,484.0,0.84944491366495045
144.29190340909093,81,0.0,81.0,0.84944491366495045
144.49147727272725,431,0.3,431.0,0.82865789607100204
144.69105113636363,261,0.0,261.0,0.83224423824198834
144.890625,6,0.0,6.0,0.83224423824198834
145.09019886363637,601,0.6,601.0,0.78186688418967076
145.28977272727275,5,0.0,5.0,0.78186688418967076
145.48934659090907,0,0.0,0.0,0.80999859004932806
145.68892045454544,19,0.0,19.0,0.81382708216739386
145.8884943181818,0,0.0,0.0,0.81382708216739386
146.0880681818182,550,0.425,550.0,0.74239372031676965
146.28764204545456,174,0.0,174.0,0.74239372031676965
146.48721590909093,5,0.0,5.0,0.79420648832450214
146.68678977272725,607,0.025,607.0,0.79014003735185989
146.88636363636363,14,0.0,14.0,0.79014003735185989
147.0859375,62,0.025,62.0,0.87148376739748123
147.28551136363637,219,0.5,219.0,0.80219775919060943
147.48508522727275,5,0.0,5.0,0.80219775919060943
147.68465909090907,832,0.025,832.0,0.79822581614882271
147.88423295454544,21,0.075,21.0,0.7860267395847792
148.0838068181818,819,0.175,819.0,0.82502291856104126
148.2833806818182,665,0.0,665.0,0.82502291856104126
148.48295454545456,38,0.025,38.0,0.8213393842354153
148.68252840909093,801,0.0,801.0,0.82502291856104126
148.88210227272725,207,0.0,207.0,0.82502291856104126
149.08167613636363,26,0.0,26.0,0.82865789822313085
149.28125,741,0.025,741.0,0.88850456279401135
149.48082386363637,0,0.0,0.0,0.88850456279401135
149.68039772727275,3,0.0,3.0,0.89117674458054918
149.87997159090907,4,0.0,4.0,0.8989162768979686
150.07954545454544,39,0.0,39.0,0.91539987675632339
150.2791193181818,299,0.45,299.0,0.86848031480004084
150.4786931818182,114,0.0,114.0,0.87148377028330959
150.67826704545456,99,0.0,99.0,0.87148377028330959
150.87784090909093,196,0.0,196.0,0.87148377028330959
151.07741477272725,18,0.05,18.0,0.86542875543355979
151.27698863636363,1335,0.525,1335.0,0.79420649977093394
151.4765625,150,0.275,150.0,0.74695542702633266
151.67613636363637,68,0.0,68.0,0.74695542702633266
151.87571022727275,585,0.05,585.0,0.73778970409737421
152.07528409090907,184,0.0,184.0,0.73778970409737421
152.27485795454544,888,0.175,888.0,0.78602674544063311
152.4744318181818,398,0.0,398.0,0.78602674544063311
152.6740056818182,195,0.0,195.0,0.78602674544063311
152.87357954545456,988,0.05,988.0,0.77766080988313879
153.07315340909093,1490,0.0,1490.0,0.78602674544063311
153.27272727272725,2258,0.2,2258.0,0.83578188166417311
153.47230113636363,990,0.025,990.0,0.8684803132210861
153.671875,264,0.025,264.0,0.86542875382947737
153.87144886363637,101,0.0,101.0,0.87148376872940214
154.07102272727275,17,0.0,17.0,0.87148376872940214
154.27059659090907,12,0.075,12.0,0.88302004878406248
154.47017045454544,526,0.05,526.0,0.87734703407630232
154.6697443181818,113,0.0,113.0,0.87734703407630232
154.8693181818182,443,0.0,443.0,0.88302004878406248
